can_id,can_nam,spe_id,spe_nam,ele_typ,can_off_sta,can_off_dis,can_off,can_par_aff,exp_amo,exp_dat,agg_amo,sup_opp,pur,pay,file_num,amn_ind,tra_id,ima_num,rec_dat,prev_file_num,dissem_dt
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$62,225.19 ",2/12/16,"$9,002,144.67 ",Support,Direct Mail Postage,The Stoneridge Group LLC,1049707,N,2,2.01602E+17,2/16/16, ,2/15/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$49,430.43 ",2/12/16,"$8,939,919.48 ",Support,Direct Mail Production,The Stoneridge Group LLC,1049707,N,1,2.01602E+17,2/16/16, ,2/15/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$150,125.00 ",2/12/16,"$8,890,489.05 ",Support,Media Placement - also opposes Rubio & Kasich,Oath Strategies LLC,1049706,N,1,2.01602E+17,2/16/16, ,2/15/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$108,345.05 ",2/16/16,"$8,740,364.05 ",Support,Direct Mail Production & Postage,Richard Quinn & Associates,1049705,N,1,2.01602E+17,2/16/16, ,2/15/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$3,000.00 ",2/16/16,"$8,632,019.00 ",Support,Media production-Also oppose Rubio and Trump,RSM,1049352,N,1,2.01602E+17,2/14/16, ,2/13/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$6,500.00 ",2/16/16,"$8,629,019.00 ",Support,Message Phone Calls,Richard Quinn & Associates,1049351,N,1,2.01602E+17,2/14/16, ,2/13/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$2,900.00 ",2/16/16,"$8,622,519.00 ",Support,Media Production,Richard Quinn & Associates,1049350,N,1,2.01602E+17,2/14/16, ,2/13/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$175.00 ,2/16/16,"$8,619,619.00 ",Support,Media Production,Revolution Agency,1049347,N,1,2.01602E+17,2/14/16, ,2/13/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$8,413.69 ",2/12/16,"$8,619,444.00 ",Support,Printing,The Stoneridge Group LLC,1049344,N,1,2.01602E+17,2/14/16, ,2/13/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$26,055.00 ",2/16/16,"$8,611,030.31 ",Support,Media Production - also opposes Trump Cruz and Rubio,Revolution Agency,1049323,N,1,2.01602E+17,2/13/16, ,2/12/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$585.00 ,2/16/16,"$8,584,975.31 ",Support,Media Production,Revolution Agency,1049322,N,1,2.01602E+17,2/13/16, ,2/12/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,808,565.55 ",2/10/16,"$8,584,390.31 ",Support,Media Placement - also opposes Kasich and Rubio,Oath Strategies LLC,1049318,N,2,2.01602E+17,2/13/16, ,2/12/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$186.75 ,12/31/15,"$7,132,562.57 ",Support,Media production,Revolution Agency,1037682,N,3,2.01512E+17,12/31/15, ,12/31/15
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,$611.30 ,12/31/15,"$7,132,375.82 ",Oppose,Media production,Revolution Agency,1037681,N,3,2.01512E+17,12/31/15, ,12/30/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$12,097.00 ",12/30/15,"$7,131,764.52 ",Support,Media production-Also oppose Rubio,Revolution Agency,1037678,N,2,2.01512E+17,12/31/15, ,12/29/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$61,178.19 ",12/24/15,"$7,119,667.52 ",Support,Direct mail postage,Redwave Communications LLC,1037675,N,2,2.01512E+17,12/31/15, ,12/30/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$52,773.34 ",12/24/15,"$7,058,489.33 ",Support,Direct mail production,Redwave Communications LLC,1037675,N,1,2.01512E+17,12/31/15, ,12/30/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$284,280.00 ",12/22/15,"$7,005,715.99 ",Support,Media placement-Also oppose Rubio,Oath Strategies LLC,1037673,N,2,2.01512E+17,12/31/15, ,12/29/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$1,268.79 ",2/12/16,"$6,775,824.76 ",Support,Media Production,Revolution Agency,1049317,N,1,2.01602E+17,2/13/16, ,2/12/16
 ,"Rubio, Marco",C00571372,Right to Rise USA,P,SC,0,P, ,"$13,824.24 ",2/12/16,"$6,774,555.97 ",Oppose,Media Production,McCarthy Hennings Whalen Inc.,1049276,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$11,181.31 ",2/12/16,"$6,760,731.73 ",Oppose,Media production,McCarthy Hennings Whalen Inc.,1049275,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$125,000.00 ",2/11/16,"$6,749,550.42 ",Support,Media Placement - also opposes Rubio,Revolution Agency,1049273,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$24,603.61 ",12/23/15,"$6,721,435.99 ",Support,Direct Mail Postage,The Stoneridge Group LLC,1037382,N,2,2.01512E+17,12/24/15, ,12/23/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$22,945.21 ",12/23/15,"$6,696,832.38 ",Support,Direct Mail Production,The Stoneridge Group LLC,1037382,N,1,2.01512E+17,12/24/15, ,12/23/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$2,806.17 ",12/22/15,"$6,673,887.17 ",Support,Media Production - also oppose Trump,McCarthy Hennings Whalen Inc,1037334,N,3,2.01512E+17,12/23/15, ,12/21/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$4,172.98 ",12/19/15,"$6,671,081.00 ",Support,Media production,McCarthy Hennings Whalen Inc.,1037061,N,3,2.01512E+17,12/20/15, ,12/18/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$55,877.87 ",12/15/15,"$6,666,908.02 ",Support,Direct Mail Postage - also opposes Trump Cruz and Rubio,Redwave Communications LLC,1036901,N,2,2.01512E+17,12/19/15, ,12/17/15
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$88,260.78 ",2/11/16,"$6,624,550.42 ",Oppose,Direct Mail Postage,Redwave Communications LLC,1049272,N,2,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$52,771.01 ",12/15/15,"$6,611,030.15 ",Support,Direct Mail Production - also opposes Trump Cruz and Rubio,Redwave Communications LLC,1036901,N,1,2.01512E+17,12/19/15, ,12/17/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$288.00 ,12/10/15,"$6,558,259.14 ",Support,Media production - Also opposes Trump Cruz & Rubio,Revolution Agency,1035529,N,3,2.01512E+17,12/12/15, ,12/10/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$5,917.83 ",12/10/15,"$6,557,971.14 ",Support,Media Production - also opposes Trump Cruz & Rubio,McCarthy Hennings Whalen Inc,1035362,N,6,2.01512E+17,12/10/15, ,12/8/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$4,236.24 ",12/10/15,"$6,552,053.31 ",Support,Media Production,McCarthy Hennings Whalen Inc,1035361,N,6,2.01512E+17,12/10/15, ,12/8/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$19,695.37 ",12/7/15,"$6,547,817.07 ",Support,Media Production,Revolution Agency,1034954,N,3,2.01512E+17,12/7/15, ,12/5/15
 ,"Kasich, John",C00571372,Right to Rise USA,P,SC,0,P, ,"$57,555.21 ",2/10/16,"$6,536,289.64 ",Oppose,Direct Mail Production,Redwave Communications LLC,1049272,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$183.75 ,12/7/15,"$6,528,121.70 ",Support,Media Production,Revolution Agency,1034953,N,3,2.01512E+17,12/7/15, ,12/5/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$397.50 ,12/7/15,"$6,527,937.95 ",Support,Media Production,Revolution Agency,1034952,N,3,2.01512E+17,12/7/15, ,12/5/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$960.00 ,12/2/15,"$6,527,540.45 ",Support,Media production,McCarthy Hennings Whalen Inc.,1034729,N,3,2.01512E+17,12/3/15, ,12/1/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,$403.00 ,11/30/15,"$6,526,580.45 ",Support,Media Production,Revolution Agency,1034728,N,3,2.01512E+17,12/3/15, ,12/1/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$100,000.00 ",11/25/15,"$6,526,177.45 ",Support,Media Placement,Revolution Agency,1034727,N,3,2.01512E+17,12/3/15, ,12/1/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$75,100.45 ",2/11/16,"$6,478,734.43 ",Support,Direct Mail Postage,Redwave Communications LLC,1049271,N,2,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$234,456.41 ",10/29/15,"$6,426,177.45 ",Support,Media Placement,Revolution Agency,1034726,N,3,2.01512E+17,12/3/15, ,12/1/15
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$61,399.65 ",2/10/16,"$6,403,633.98 ",Support,Direct Mail Production,Redwave Communications LLC,1049271,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$489,631.71 ",2/9/16,"$6,342,234.33 ",Support,Media Placement - also opposes Rubio,Oath Strategies LLC,1049269,N,1,2.01602E+17,2/12/16, ,2/11/16
 ,"Bush, Jeb",C00571372,Right to Rise USA,P,SC,0,P, ,"$50,256.00 ",9/14/15,"$6,191,721.04 ",Support,Media Placement,Revolution Agency,1034725,N,3,2.01512E+17,12/3/15, ,12/1/15
